file_path,qualified_name,kind,start_line,end_line,line_range,intended_function,suggestion,notes,executed_lines,total_lines,coverage_ratio,is_async,is_dunder,decorators,code_snippet
src/api/app.py,_require_runtime_resources,function,93,96,93-96,general purpose,consider_delete,function-or-method-not-executed,0,4,0.00%,False,False,,"def _require_runtime_resources() -> RuntimeResources:
    if runtime_resources is None:
        raise RuntimeError(""Runtime resources not initialized"")
    return runtime_resources"
src/api/app.py,get_rag_instance,function,100,102,100-102,data retrieval,consider_delete,function-or-method-not-executed,0,3,0.00%,False,False,,"def get_rag_instance() -> RAGOrchestrator:
    """"""Get RAG orchestrator instance.""""""
    return _require_runtime_resources().rag_orchestrator"
src/api/app.py,get_embedding_instance,function,105,107,105-107,data retrieval,consider_delete,function-or-method-not-executed,0,3,0.00%,False,False,,"def get_embedding_instance():
    """"""Get embedding service instance.""""""
    return _require_runtime_resources().embedding_service"
src/api/app.py,get_ingestion_instance,function,110,112,110-112,data retrieval,consider_delete,function-or-method-not-executed,0,3,0.00%,False,False,,"def get_ingestion_instance() -> IngestionOrchestrator:
    """"""Get ingestion orchestrator instance.""""""
    return _require_runtime_resources().ingestion_orchestrator"
src/api/app.py,get_chat_memory_instance,function,115,120,115-120,data retrieval,consider_delete,function-or-method-not-executed,0,6,0.00%,False,False,,"def get_chat_memory_instance():
    """"""Get ChatMemory manager instance.""""""
    manager = _require_runtime_resources().chat_memory_manager
    if manager is None:
        raise RuntimeError(""ChatMemory manager not initialized"")
    return manager"
src/api/app.py,get_snapshot_scheduler_instance,function,123,128,123-128,data retrieval,consider_delete,function-or-method-not-executed,0,6,0.00%,False,False,,"def get_snapshot_scheduler_instance():
    """"""Get snapshot scheduler instance.""""""
    scheduler = _require_runtime_resources().snapshot_scheduler
    if scheduler is None:
        raise RuntimeError(""Snapshot scheduler not initialized"")
    return scheduler"
src/api/app.py,global_exception_handler,function,171,183,171-183,data processing,consider_delete,function-or-method-not-executed,0,13,0.00%,True,False,app.exception_handler,"async def global_exception_handler(request: Request, exc: Exception):
    """"""Global exception handler.""""""
    logger.error(""Unhandled exception: %s"", exc, exc_info=True)
    return JSONResponse(
        status_code=500,
        content={
            ""error"": {
                ""message"": str(exc),
                ""type"": ""internal_server_error"",
                ""code"": ""internal_error"",
            }
        },
    )"
src/api/app.py,health_check,function,188,194,188-194,validation/checking,consider_delete,function-or-method-not-executed,0,7,0.00%,True,False,app.get,"async def health_check():
    """"""Health check endpoint.""""""
    return {
        ""status"": ""healthy"",
        ""rag_initialized"": runtime_resources is not None,
        ""embedding_initialized"": bool(runtime_resources and runtime_resources.embedding_service),
    }"
src/api/app.py,root,function,198,231,198-231,general purpose,consider_delete,function-or-method-not-executed,0,34,0.00%,True,False,app.get,"async def root():
    """"""Root endpoint.""""""
    if API_MODE == ""openai"":
        return {
            ""message"": ""RAG API - OpenAI-compatible endpoint"",
            ""version"": ""1.0.0"",
            ""api_mode"": ""openai"",
            ""endpoints"": {
                ""models"": ""GET /v1/models"",
                ""chat_completions"": ""POST /v1/chat/completions"",
                ""responses"": ""POST /v1/responses"",
                ""embeddings"": ""POST /v1/embeddings"",
                ""rag_ingest"": ""POST /rag/ingest"",
                ""rag_query"": ""POST /rag/query"",
                ""health"": ""GET /health"",
            },
        }
    else:
        return {
            ""message"": ""RAG API - Ollama-compatible endpoint"",
            ""version"": ""1.0.0"",
            ""api_mode"": ""ollama"",
            ""endpoints"": {
                ""generate"": ""POST /api/generate"",
                ""chat"": ""POST /api/chat"",
                ""embeddings"": ""POST /api/embeddings"",
                ""pull"": ""POST /api/pull"",
       ... [truncated]"
src/api/models.py,Usage,class,10,14,10-14,general purpose,investigate,class-not-instantiated-or-not-executed,0,5,0.00%,False,False,,"class Usage(BaseModel):
    """"""Token usage information.""""""
    prompt_tokens: int
    completion_tokens: int
    total_tokens: int"
src/api/models.py,Model,class,19,24,19-24,general purpose,investigate,class-not-instantiated-or-not-executed,0,6,0.00%,False,False,,"class Model(BaseModel):
    """"""Model information.""""""
    id: str
    object: Literal[""model""] = ""model""
    created: int = Field(default_factory=lambda: int(datetime.now().timestamp()))
    owned_by: str = ""rag-local"""
src/api/models.py,ModelsResponse,class,27,30,27-30,general purpose,investigate,class-not-instantiated-or-not-executed,0,4,0.00%,False,False,,"class ModelsResponse(BaseModel):
    """"""Response for /v1/models endpoint.""""""
    object: Literal[""list""] = ""list""
    data: List[Model]"
src/api/models.py,ChatMessage,class,35,40,35-40,general purpose,investigate,class-not-instantiated-or-not-executed,0,6,0.00%,False,False,,"class ChatMessage(BaseModel):
    """"""Chat message with role and content.""""""
    role: Literal[""system"", ""user"", ""assistant"", ""function""]
    content: str
    name: Optional[str] = None
    function_call: Optional[Dict[str, Any]] = None"
src/api/models.py,ChatCompletionRequest,class,43,57,43-57,general purpose,investigate,class-not-instantiated-or-not-executed,0,15,0.00%,False,False,,"class ChatCompletionRequest(BaseModel):
    """"""Request for chat completion.""""""
    model: str
    messages: List[ChatMessage]
    temperature: Optional[float] = Field(default_factory=lambda: settings.RAG_DEFAULT_TEMPERATURE, ge=0.0, le=2.0)
    top_p: Optional[float] = Field(default_factory=lambda: settings.RAG_DEFAULT_TOP_P, ge=0.0, le=1.0)
    n: Optional[int] = Field(default=1, ge=1)
    stream: Optional[bool] = False
    stop: Optional[Union[str, List[str]]] = None
    max_tokens: Optional[int] = Field(default_factory=lambda: settings.RAG_DEFAULT_MAX_TOKENS, ge=1)
    presence_penalty: Optional[float] = Field(default_factory=lambda: settings.RAG_DEFAULT_PRESENCE_PENALTY, ge=-2.0, le=2.0)
    frequency_penalty: Optional[float] = Field(default_factory=lambda: settings.RAG_DEFAULT_FREQUENCY_PENALTY, ge=-2.0, le=2.0)
    logit_bias: Optional[Dict[str, float]] = None
    user: Optional[str] = None
    top_k: Optional[int] = Field(default=5, ge=1)  # RAG-specific: number of documents to ... [truncated]"
src/api/models.py,ChatCompletionChoice,class,60,64,60-64,general purpose,investigate,class-not-instantiated-or-not-executed,0,5,0.00%,False,False,,"class ChatCompletionChoice(BaseModel):
    """"""Single choice in chat completion response.""""""
    index: int
    message: ChatMessage
    finish_reason: Optional[Literal[""stop"", ""length"", ""function_call"", ""content_filter""]] = ""stop"""
src/api/models.py,ChatCompletionResponse,class,67,75,67-75,general purpose,investigate,class-not-instantiated-or-not-executed,0,9,0.00%,False,False,,"class ChatCompletionResponse(BaseModel):
    """"""Response for chat completion.""""""
    id: str
    object: Literal[""chat.completion""] = ""chat.completion""
    created: int = Field(default_factory=lambda: int(datetime.now().timestamp()))
    model: str
    choices: List[ChatCompletionChoice]
    usage: Usage
    system_fingerprint: Optional[str] = None"
src/api/models.py,ResponseInput,class,80,83,80-83,general purpose,investigate,class-not-instantiated-or-not-executed,0,4,0.00%,False,False,,"class ResponseInput(BaseModel):
    """"""Input for response creation.""""""
    type: Literal[""text""] = ""text""
    text: str"
src/api/models.py,ResponseRequest,class,86,93,86-93,general purpose,investigate,class-not-instantiated-or-not-executed,0,8,0.00%,False,False,,"class ResponseRequest(BaseModel):
    """"""Request for response creation (modern endpoint).""""""
    model: str
    input: Union[str, List[ResponseInput]]
    temperature: Optional[float] = Field(default_factory=lambda: settings.RAG_DEFAULT_TEMPERATURE, ge=0.0, le=2.0)
    max_tokens: Optional[int] = Field(default_factory=lambda: settings.RAG_DEFAULT_MAX_TOKENS, ge=1)
    metadata: Optional[Dict[str, Any]] = None
    top_k: Optional[int] = Field(default=5, ge=1)  # RAG-specific"
src/api/models.py,ResponseOutput,class,96,99,96-99,general purpose,investigate,class-not-instantiated-or-not-executed,0,4,0.00%,False,False,,"class ResponseOutput(BaseModel):
    """"""Output from response.""""""
    type: Literal[""text""] = ""text""
    text: str"
src/api/models.py,Source,class,102,105,102-105,general purpose,investigate,class-not-instantiated-or-not-executed,0,4,0.00%,False,False,,"class Source(BaseModel):
    """"""Source citation for RAG responses.""""""
    path: str
    relevance_score: float"
src/api/models.py,ResponseMetadata,class,108,114,108-114,general purpose,investigate,class-not-instantiated-or-not-executed,0,7,0.00%,False,False,,"class ResponseMetadata(BaseModel):
    """"""Metadata for RAG response.""""""
    retrieved_count: int
    sources: List[Source]
    query: str
    temperature: float
    max_tokens: int"
src/api/models.py,ResponseObject,class,117,125,117-125,general purpose,investigate,class-not-instantiated-or-not-executed,0,9,0.00%,False,False,,"class ResponseObject(BaseModel):
    """"""Response object (modern endpoint).""""""
    id: str
    object: Literal[""response""] = ""response""
    created: int = Field(default_factory=lambda: int(datetime.now().timestamp()))
    model: str
    output: List[ResponseOutput]
    usage: Usage
    metadata: Optional[ResponseMetadata] = None"
src/api/models.py,EmbeddingRequest,class,130,135,130-135,general purpose,investigate,class-not-instantiated-or-not-executed,0,6,0.00%,False,False,,"class EmbeddingRequest(BaseModel):
    """"""Request for embeddings.""""""
    model: str = ""text-embedding-ada-002""  # Default for compatibility
    input: Union[str, List[str]]
    encoding_format: Optional[Literal[""float"", ""base64""]] = ""float""
    user: Optional[str] = None"
src/api/models.py,Embedding,class,138,142,138-142,general purpose,investigate,class-not-instantiated-or-not-executed,0,5,0.00%,False,False,,"class Embedding(BaseModel):
    """"""Single embedding.""""""
    object: Literal[""embedding""] = ""embedding""
    embedding: List[float]
    index: int"
src/api/models.py,EmbeddingResponse,class,145,150,145-150,general purpose,investigate,class-not-instantiated-or-not-executed,0,6,0.00%,False,False,,"class EmbeddingResponse(BaseModel):
    """"""Response for embeddings.""""""
    object: Literal[""list""] = ""list""
    data: List[Embedding]
    model: str
    usage: Usage"
src/api/models.py,ErrorDetail,class,155,160,155-160,error handling,investigate,class-not-instantiated-or-not-executed,0,6,0.00%,False,False,,"class ErrorDetail(BaseModel):
    """"""Error detail.""""""
    message: str
    type: str
    param: Optional[str] = None
    code: Optional[str] = None"
src/api/models.py,ErrorResponse,class,163,165,163-165,error handling,investigate,class-not-instantiated-or-not-executed,0,3,0.00%,False,False,,"class ErrorResponse(BaseModel):
    """"""Error response.""""""
    error: ErrorDetail"
src/api/models_ollama.py,_utc_now,function,9,10,9-10,general purpose,consider_delete,function-or-method-not-executed,0,2,0.00%,False,False,,"def _utc_now() -> str:
    return datetime.now(timezone.utc).isoformat()"
src/api/models_ollama.py,OllamaMessage,class,13,15,13-15,general purpose,investigate,class-not-instantiated-or-not-executed,0,3,0.00%,False,False,,"class OllamaMessage(BaseModel):
    role: Literal[""system"", ""user"", ""assistant""]
    content: str"
src/api/models_ollama.py,OllamaOptions,class,18,23,18-23,general purpose,investigate,class-not-instantiated-or-not-executed,0,6,0.00%,False,False,,"class OllamaOptions(BaseModel):
    temperature: Optional[float] = Field(default=None, ge=0.0, le=2.0)
    top_k: Optional[int] = Field(default=None, ge=1)
    top_p: Optional[float] = Field(default=None, ge=0.0, le=1.0)
    max_tokens: Optional[int] = Field(default=None, ge=1)
    num_predict: Optional[int] = Field(default=None, ge=1)"
src/api/models_ollama.py,OllamaRagOptions,class,26,29,26-29,general purpose,investigate,class-not-instantiated-or-not-executed,0,4,0.00%,False,False,,"class OllamaRagOptions(BaseModel):
    enabled: Optional[bool] = True
    filters: Optional[Dict[str, Any]] = None
    include_sources: Optional[bool] = True"
src/api/models_ollama.py,OllamaGenerateRequest,class,32,38,32-38,general purpose,investigate,class-not-instantiated-or-not-executed,0,7,0.00%,False,False,,"class OllamaGenerateRequest(BaseModel):
    model: str
    prompt: str
    system: Optional[str] = None
    stream: Optional[bool] = False
    options: Optional[OllamaOptions] = None
    rag: Optional[OllamaRagOptions] = None"
src/api/models_ollama.py,OllamaChatRequest,class,41,46,41-46,general purpose,investigate,class-not-instantiated-or-not-executed,0,6,0.00%,False,False,,"class OllamaChatRequest(BaseModel):
    model: str
    messages: List[OllamaMessage]
    stream: Optional[bool] = False
    options: Optional[OllamaOptions] = None
    rag: Optional[OllamaRagOptions] = None"
src/api/models_ollama.py,OllamaGenerateResponse,class,49,55,49-55,general purpose,investigate,class-not-instantiated-or-not-executed,0,7,0.00%,False,False,,"class OllamaGenerateResponse(BaseModel):
    model: str
    created_at: str = Field(default_factory=_utc_now)
    response: str
    done: bool = True
    sources: Optional[List[Dict[str, Any]]] = None
    context: Optional[Any] = None"
src/api/models_ollama.py,OllamaChatResponse,class,58,64,58-64,general purpose,investigate,class-not-instantiated-or-not-executed,0,7,0.00%,False,False,,"class OllamaChatResponse(BaseModel):
    model: str
    created_at: str = Field(default_factory=_utc_now)
    message: OllamaMessage
    done: bool = True
    sources: Optional[List[Dict[str, Any]]] = None
    context: Optional[Any] = None"
src/api/models_ollama.py,OllamaEmbeddingsRequest,class,67,69,67-69,general purpose,investigate,class-not-instantiated-or-not-executed,0,3,0.00%,False,False,,"class OllamaEmbeddingsRequest(BaseModel):
    model: str
    input: Union[str, List[str]]"
src/api/models_ollama.py,OllamaEmbeddingsResponse,class,72,74,72-74,general purpose,investigate,class-not-instantiated-or-not-executed,0,3,0.00%,False,False,,"class OllamaEmbeddingsResponse(BaseModel):
    model: str
    embeddings: List[List[float]]"
src/api/models_ollama.py,OllamaPullRequest,class,77,79,77-79,general purpose,investigate,class-not-instantiated-or-not-executed,0,3,0.00%,False,False,,"class OllamaPullRequest(BaseModel):
    name: str
    stream: Optional[bool] = False"
src/api/models_ollama.py,OllamaTagModel,class,82,88,82-88,general purpose,investigate,class-not-instantiated-or-not-executed,0,7,0.00%,False,False,,"class OllamaTagModel(BaseModel):
    name: str
    model: Optional[str] = None  # Alias for name, some clients expect this
    modified_at: str = Field(default_factory=_utc_now)
    size: int = 0  # Model size in bytes (0 for unknown)
    digest: str = """"  # Model digest/hash (empty for unknown)
    details: Dict[str, Any] = Field(default_factory=dict)"
src/api/models_ollama.py,OllamaTagsResponse,class,91,92,91-92,general purpose,investigate,class-not-instantiated-or-not-executed,0,2,0.00%,False,False,,"class OllamaTagsResponse(BaseModel):
    models: List[OllamaTagModel]"
src/api/models_ollama.py,RagQueryRequest,class,95,102,95-102,general purpose,investigate,class-not-instantiated-or-not-executed,0,8,0.00%,False,False,,"class RagQueryRequest(BaseModel):
    query: str
    top_k: Optional[int] = Field(default=None, ge=1)
    filters: Optional[Dict[str, Any]] = None
    include_sources: Optional[bool] = True
    temperature: Optional[float] = Field(default_factory=lambda: settings.RAG_DEFAULT_TEMPERATURE, ge=0.0, le=2.0)
    max_tokens: Optional[int] = Field(default_factory=lambda: settings.RAG_DEFAULT_MAX_TOKENS, ge=1)
    system: Optional[str] = None"
src/api/models_ollama.py,RagQueryResponse,class,105,108,105-108,general purpose,investigate,class-not-instantiated-or-not-executed,0,4,0.00%,False,False,,"class RagQueryResponse(BaseModel):
    answer: str
    sources: List[Dict[str, Any]] = Field(default_factory=list)
    metadata: Dict[str, Any] = Field(default_factory=dict)"
src/api/models_ollama.py,RagIngestRequest,class,111,126,111-126,general purpose,investigate,class-not-instantiated-or-not-executed,0,16,0.00%,False,False,,"class RagIngestRequest(BaseModel):
    paths: List[str]
    dry_run: Optional[bool] = False
    per_file: Optional[bool] = False
    max_files: Optional[int] = 0
    streaming: Optional[bool] = None
    allowed_extensions: Optional[List[str]] = None
    excluded_dirs: Optional[List[str]] = None
    excluded_globs: Optional[List[str]] = None
    follow_symlinks: Optional[bool] = False
    enabled_paths: Optional[List[str]] = None
    scan_progress_every: Optional[int] = 0
    strategy: Optional[str] = None
    phased_ingestion: Optional[bool] = None
    max_ram_percent: Optional[int] = None
    run_id: Optional[str] = None"
src/api/models_ollama.py,RagIngestResponse,class,129,135,129-135,general purpose,investigate,class-not-instantiated-or-not-executed,0,7,0.00%,False,False,,"class RagIngestResponse(BaseModel):
    status: str
    ingested: int
    failed: int
    candidates: Optional[int] = None
    run_id: Optional[str] = None
    strategy: Optional[str] = None"
src/api/models_ollama.py,RagToolRequest,class,138,142,138-142,general purpose,investigate,class-not-instantiated-or-not-executed,0,5,0.00%,False,False,,"class RagToolRequest(BaseModel):
    input_path: str
    output_format: Optional[str] = None
    max_size_mb: Optional[int] = None
    language: Optional[str] = None"
src/api/models_ollama.py,RagToolResponse,class,145,151,145-151,general purpose,investigate,class-not-instantiated-or-not-executed,0,7,0.00%,False,False,,"class RagToolResponse(BaseModel):
    success: bool
    output_path: Optional[str] = None
    output_dir: Optional[str] = None
    file_count: Optional[int] = None
    total_size_mb: Optional[float] = None
    error: Optional[str] = None"
src/api/models_ollama.py,RagFileLocationResponse,class,154,156,154-156,general purpose,investigate,class-not-instantiated-or-not-executed,0,3,0.00%,False,False,,"class RagFileLocationResponse(BaseModel):
    file_id: str
    path: Optional[str] = None"
src/api/models_ollama.py,RagFileMetadataResponse,class,159,161,159-161,general purpose,investigate,class-not-instantiated-or-not-executed,0,3,0.00%,False,False,,"class RagFileMetadataResponse(BaseModel):
    file_id: str
    metadata: Optional[Dict[str, Any]] = None"
src/api/runtime.py,RuntimeResources,class,20,31,20-31,general purpose,investigate,class-not-instantiated-or-not-executed,0,12,0.00%,False,False,dataclass,"class RuntimeResources:
    config: Any
    weaviate_client: Any
    retriever: WeaviateRetriever
    rag_orchestrator: RAGOrchestrator
    ingestion_orchestrator: IngestionOrchestrator
    embedding_service: Any
    chat_memory_manager: Optional[Any]
    snapshot_scheduler: Optional[Any]
    cleanup_scheduler: Optional[Any]
    temporal_cleanup_scheduler: Optional[Any]
    web_search_client: Optional[SearXNGClient]"
src/api/runtime.py,RuntimeContext,class,34,47,34-47,general purpose,investigate,class-not-instantiated-or-not-executed,0,14,0.00%,False,False,,"class RuntimeContext:
    """"""Context manager for runtime resources.""""""

    def __init__(self, factory: ""RuntimeFactory"") -> None:
        self._factory = factory
        self.resources: Optional[RuntimeResources] = None

    def __enter__(self) -> RuntimeResources:
        self.resources = self._factory.create()
        return self.resources

    def __exit__(self, exc_type, exc_value, traceback) -> None:
        self._factory.shutdown(self.resources)
        self.resources = None"
src/api/runtime.py,RuntimeContext.__init__,method,37,39,37-39,initialization/setup,investigate,"dunder, function-or-method-not-executed",0,3,0.00%,False,True,,"def __init__(self, factory: ""RuntimeFactory"") -> None:
        self._factory = factory
        self.resources: Optional[RuntimeResources] = None"
src/api/runtime.py,RuntimeContext.__enter__,method,41,43,41-43,general purpose,investigate,"dunder, function-or-method-not-executed",0,3,0.00%,False,True,,"def __enter__(self) -> RuntimeResources:
        self.resources = self._factory.create()
        return self.resources"
src/api/runtime.py,RuntimeContext.__exit__,method,45,47,45-47,general purpose,investigate,"dunder, function-or-method-not-executed",0,3,0.00%,False,True,,"def __exit__(self, exc_type, exc_value, traceback) -> None:
        self._factory.shutdown(self.resources)
        self.resources = None"
src/api/runtime.py,RuntimeFactory,class,50,222,50-222,general purpose,investigate,class-not-instantiated-or-not-executed,0,173,0.00%,False,False,,"class RuntimeFactory:
    """"""Builds and tears down the FastAPI runtime stack.""""""

    def __init__(self, config: Any, rag_overrides: Mapping[str, Any] | None = None) -> None:
        self.config = config
        self._rag_overrides = dict(rag_overrides or {})

    def context(self) -> ""RuntimeContext"":
        return RuntimeContext(self)

    def create(self) -> RuntimeResources:
        cfg = self.config
        log.info(""Initializing RAG runtime..."")

        weaviate_client = weaviate.connect_to_local(
            host=cfg.WEAVIATE_URL.replace(""http://"", """").replace(""https://"", """").split("":"")[0],
            port=int(cfg.WEAVIATE_URL.split("":"")[-1]) if "":"" in cfg.WEAVIATE_URL else 8080,
            grpc_port=cfg.WEAVIATE_GRPC_PORT,
        )

        from src.backends.storage.vector import get_vector_store

        log.info(""Ensuring Weaviate schema exists..."")
        get_vector_store(cfg)
        log.info(""Weaviate schema ready"")

        from src.workflows.memory.storage.chat_mem... [truncated]"
src/api/runtime.py,RuntimeFactory.__init__,method,53,55,53-55,initialization/setup,investigate,"dunder, function-or-method-not-executed",0,3,0.00%,False,True,,"def __init__(self, config: Any, rag_overrides: Mapping[str, Any] | None = None) -> None:
        self.config = config
        self._rag_overrides = dict(rag_overrides or {})"
src/api/runtime.py,RuntimeFactory.context,method,57,58,57-58,general purpose,consider_delete,function-or-method-not-executed,0,2,0.00%,False,False,,"def context(self) -> ""RuntimeContext"":
        return RuntimeContext(self)"
src/api/runtime.py,RuntimeFactory.create,method,60,198,60-198,general purpose,consider_delete,function-or-method-not-executed,0,139,0.00%,False,False,,"def create(self) -> RuntimeResources:
        cfg = self.config
        log.info(""Initializing RAG runtime..."")

        weaviate_client = weaviate.connect_to_local(
            host=cfg.WEAVIATE_URL.replace(""http://"", """").replace(""https://"", """").split("":"")[0],
            port=int(cfg.WEAVIATE_URL.split("":"")[-1]) if "":"" in cfg.WEAVIATE_URL else 8080,
            grpc_port=cfg.WEAVIATE_GRPC_PORT,
        )

        from src.backends.storage.vector import get_vector_store

        log.info(""Ensuring Weaviate schema exists..."")
        get_vector_store(cfg)
        log.info(""Weaviate schema ready"")

        from src.workflows.memory.storage.chat_memory_schema import create_chat_memory_collection

        log.info(""Ensuring ChatMemory collection exists..."")
        chat_memory_created = create_chat_memory_collection(
            weaviate_client,
            config=cfg,
            force_recreate=False,
        )
        if chat_memory_created:
            log.info(""ChatMemory collection r... [truncated]"
